N,P,seed,stable,tail_time,min_retention,output_dir
16,5,101,False,8.0,4.617951284617951,outputs\20251222-163404-097845
16,5,202,True,8.0,8.008008008008009,outputs\20251222-163406-332019
16,5,303,True,8.0,8.008008008008009,outputs\20251222-163408-662605
16,5,404,True,8.0,8.008008008008009,outputs\20251222-163410-887030
16,5,505,True,8.0,8.008008008008009,outputs\20251222-163413-069716
16,5,606,True,8.0,8.008008008008009,outputs\20251222-163415-215198
16,5,707,True,8.0,8.008008008008009,outputs\20251222-163417-451644
16,6,101,False,8.0,6.668335001668336,outputs\20251222-163419-608248
16,6,202,True,8.0,8.008008008008009,outputs\20251222-163421-803743
16,6,303,True,8.0,8.008008008008009,outputs\20251222-163424-142437
16,6,404,True,8.0,8.008008008008009,outputs\20251222-163426-629865
16,6,505,True,8.0,8.008008008008009,outputs\20251222-163428-903026
16,6,606,True,8.0,8.008008008008009,outputs\20251222-163431-203163
16,6,707,True,8.0,8.008008008008009,outputs\20251222-163433-476649
16,8,101,False,8.0,3.9889889889889893,outputs\20251222-163435-738259
16,8,202,True,8.0,8.008008008008009,outputs\20251222-163438-106221
16,8,303,True,8.0,8.008008008008009,outputs\20251222-163440-397928
16,8,404,True,8.0,8.008008008008009,outputs\20251222-163442-658355
16,8,505,False,8.0,4.7964631297964635,outputs\20251222-163445-230668
16,8,606,True,8.0,8.008008008008009,outputs\20251222-163447-537537
16,8,707,True,8.0,8.008008008008009,outputs\20251222-163449-889651
16,10,101,True,8.0,8.008008008008009,outputs\20251222-163452-191663
16,10,202,False,8.0,5.8408408408408405,outputs\20251222-163454-736167
16,10,303,False,8.0,3.798798798798799,outputs\20251222-163457-156751
16,10,404,False,8.0,4.662996329662996,outputs\20251222-163459-538332
16,10,505,True,8.0,8.008008008008009,outputs\20251222-163501-941222
16,10,606,True,8.0,8.008008008008009,outputs\20251222-163504-259246
16,10,707,False,8.0,5.408742075408742,outputs\20251222-163506-652182
16,12,101,True,8.0,8.008008008008009,outputs\20251222-163509-034390
16,12,202,False,8.0,4.636302969636303,outputs\20251222-163511-513579
16,12,303,False,8.0,3.1114447781114443,outputs\20251222-163513-996488
